Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
VLLX,VALLEY REPUBLIC BANCORP,OTCQX U.S. Premier,42.220000,5.550000,3800,Common Stock,USA,California
EMYB,EMBASSY BANCORP INC,OTCQX U.S. Premier,20.750000,-1.190500,16928,Common Stock,USA,Pennsylvania
CNBB,CNB COMMUNITY BNCP INC,OTCQX U.S. Premier,44.030000,,0,Common Stock,USA,Michigan
CTUY,CENTURY NEXT FINANCIAL CP,OTCQX U.S. Premier,33.500000,,0,Common Stock,USA,Louisiana
PBAM,PRIVATE BANCORP OF AMER,OTCQX U.S. Premier,30.590000,-0.032700,1667,Common Stock,USA,California
UNIF,U&I FINANCIAL CORP,OTCQX U.S. Premier,12.500000,5.932200,3100,Common Stock,USA,Washington
FFMR,FIRST FARMERS FINANCIAL,OTCQX U.S. Premier,55.500000,,0,Common Stock,USA,Indiana
IFHI,INTEGRATED FINL HLDGS INC,OTCQX U.S. Premier,29.300000,,0,Common Stock,USA,North Carolina
CBWA,COMMENCEMENT BANCORP INC,OTCQX U.S. Premier,13.410000,,0,Common Stock,USA,Washington
PMHG,PRIME MERIDIAN HLDG CO,OTCQX U.S. Premier,26.950000,0.000000,633,Common Stock,USA,Florida
SABK,SOUTH ATLANTIC BANCSHARES,OTCQX U.S. Premier,16.000000,0.000000,3100,Common Stock,USA,South Carolina
MCBI,MOUNTAIN COMM BANCORP INC,OTCQX U.S. Premier,30.500000,-1.294500,3200,Common Stock,USA,Tennessee
CBBI,CBB BANCORP INC,OTCQX U.S. Premier,13.790000,,0,Common Stock,USA,California
VTYB,VICTORY BANCORP INC,OTCQX U.S. Premier,13.310000,,0,Common Stock,USA,Pennsylvania
CNBN,CNB BK SHS INC,OTCQX U.S. Premier,30.000000,,40,Common Stock,USA,Illinois
MBLU,MORRIS ST BANCSHARES INC,OTCQX U.S. Premier,85.000000,,0,Common Stock,USA,Georgia
PBNC,PB FINANCIAL CORPORATION,OTCQX U.S. Premier,38.350000,,0,Common Stock,USA,North Carolina
